order_id,customer_id,product_name,quantity,unit_price,order_date,status,country,customer_email,payment_method,shipping_cost,order_total
ORD000335,CUST00119,Tablet,6,1212.73,2026-04-15 15:03:23.515296,Delivered,France,cust335@example.com,Bitcoin,2.27,7278.650000000001
ORD000145,CUST00042,Mouse,6,136.36,2026-02-07 15:03:23.515450,Pending,Germany,cust145@example.com,PayPal,3.86,822.0200000000001
ORD000347,CUST00097,Headphones,5,585.89,2026-05-01 15:03:23.515258,Processing,USA,cust347@example.com,Bank Transfer,21.3,2950.75
ORD000088,CUST00015,Laptop,9,616.95,2026-03-05 15:03:23.515390,Cancelled,Netherlands,cust88@example.com,Credit Card,4.6,5557.150000000001
ORD000019,CUST00053,Laptop,4,1239.6,2026-02-28 15:03:23.515400,Pending,Belgium,,Bitcoin,43.97,5002.37
ORD000137,CUST00001,Laptop,9,218.03,2026-03-02 15:03:23.515396,Delivered,France,cust137@example.com,PayPal,10.2,1972.47
ORD000053,CUST00089,Screen,4,73.38,2026-02-20 15:03:23.515419,Pending,Netherlands,cust53@example.com,Credit Card,36.67,330.19
ORD000004,CUST00015,Keyboard,9,1318.55,2026-04-12 15:03:23.515302,Pending,France,cust4@example.com,PayPal,42.16,11909.109999999999
ORD000497,CUST00016,Phone,3,1488.76,2026-02-07 15:03:23.515450,Cancelled,Belgium,cust497@example.com,Credit Card,8.57,4474.849999999999
ORD000221,CUST00129,Case,5,936.34,2026-02-16 15:03:23.515428,Pending,France,cust221@example.com,Credit Card,11.59,4693.29
ORD000371,CUST00181,Tablet,2,1433.51,2026-04-14 15:03:23.515298,Delivered,Germany,cust371@example.com,PayPal,19.31,2886.33
ORD000338,CUST00038,Monitor,5,656.2,2026-04-04 15:03:23.515320,Cancelled,UK,cust338@example.com,Credit Card,18.96,3299.96
ORD000218,CUST00130,Monitor,7,890.56,2026-02-28 15:03:23.515400,Pending,Netherlands,cust218@example.com,Bank Transfer,31.61,6265.53
ORD000204,CUST00186,Screen,1,641.11,2026-03-06 15:03:23.515389,Pending,USA,cust204@example.com,Credit Card,22.31,663.42
ORD000304,CUST00084,Mouse,7,269.84,2026-04-26 15:03:23.515271,Delivered,UK,cust304@example.com,Credit Card,26.58,1915.4599999999998
ORD000261,CUST00168,Headphones,2,59.82,2026-03-24 15:03:23.515350,Shipped,Belgium,cust261@example.com,Credit Card,37.47,157.11
ORD000066,CUST00008,Keyboard,6,671.62,2026-02-27 15:03:23.515404,Processing,USA,cust66@example.com,PayPal,27.39,4057.11
ORD000358,CUST00049,Mouse,7,1295.68,2026-04-21 15:03:23.515282,Cancelled,Germany,cust358@example.com,Credit Card,17.35,9087.11
ORD000499,CUST00192,Laptop,8,812.24,2026-03-30 15:03:23.515337,Pending,France,cust499@example.com,Bank Transfer,22.74,6520.66
ORD000235,CUST00038,Headphones,5,670.73,2026-04-23 15:03:23.515278,Pending,Germany,cust235@example.com,Bank Transfer,22.96,3376.61
